"","dim","mean.instance1","mean.instance2","sd.instance1","sd.instance2","n1","n2"
"1",2,0.00480109763723251,3.15544362088405e-31,0.00703055022847634,9.97838887024244e-31,10,10
"2",6,155.653236780929,1.036111951384e-09,76.5896586931523,3.12706010795392e-09,40,10
"3",11,28595.4423767956,1.82230727706139,12379.4843433871,1.35810352075886,40,10
"4",15,115071.906967575,10.1344055328463,28776.2141813047,0.647155865589708,40,10
"5",20,275807.976077727,25.9076252826779,43123.18788173,2.14753528999666,40,10
"6",24,413127.589795934,95.2903713768729,71751.4784853731,20.0377435300985,40,10
"7",29,578525.224502398,439.302913204531,68517.9936623074,130.633971907219,40,10
"8",33,746809.381021117,1507.54175833894,71251.5125062013,360.676442439875,40,10
"9",38,964146.635361621,5266.48283295727,95246.2336197431,1343.67158326516,40,10
"10",42,1118476.89293419,13178.6219969615,133486.564673933,3233.78510876568,40,10
"11",47,1348605.0463046,31736.3249022145,134416.471536669,8002.61287629896,40,10
"12",51,1565964.20976303,51952.2894575588,166036.061440032,10556.8678534036,40,10
"13",56,2214173.14393171,86692.9112845983,613439.79564713,20230.112121581,40,10
"14",60,2649035.78551148,165583.221213967,682261.591397022,64911.2528481929,40,10
"15",65,3588844.72428646,240868.731568996,653556.623680031,76782.4749296997,40,10
"16",69,3975596.51629076,293703.964466287,490813.559052494,61731.2731277163,40,10
"17",74,4546691.6018807,472012.549885502,541553.866838985,76633.8587661362,40,10
"18",78,4942109.99955449,592083.056760441,459827.694436808,138119.15240312,38,12
"19",83,5281278.53032807,923523.226563018,432763.063889665,164501.27783309,35,15
"20",87,5854144.28161893,987420.139336638,518335.533064496,224175.101418455,35,15
"21",92,6198233.6617796,1256315.36159548,554404.161368825,284233.912578275,33,17
"22",96,6707468.62105763,1709251.89994451,601325.332365124,214237.629943052,37,13
"23",101,6836463.43663468,2029101.44389035,632484.045605621,347546.941401146,32,18
"24",105,7311738.66835147,2186745.58203277,612475.980352069,492454.680062735,28,22
"25",110,7650827.36582675,2673647.38810437,695200.347268425,475790.196880342,29,21
"26",114,7992896.73577491,2930139.08634606,718393.690255554,697915.958106209,25,25
"27",119,8708037.74071279,3477331.80404057,566188.262331233,582971.941793444,24,26
"28",123,8719999.44783474,3847995.35305668,792795.592808833,763154.351605684,25,25
"29",128,9496021.29049728,4170314.01297208,609118.791021846,641048.835536929,24,26
"30",132,9748881.09345512,4467374.18692053,753650.444695952,726341.645069197,26,24
"31",137,10179779.8692387,5102232.01113001,740943.604616738,769701.247755387,24,26
"32",141,10407429.4042087,5421775.96989952,812063.165509566,1037952.76903594,22,28
"33",146,11323992.3550598,5986549.1628719,604325.875149976,661194.005454966,25,25
"34",150,11644268.6387607,5917617.52063623,884264.740217499,1077318.37039175,23,27
