"","dim","mean.instance1","mean.instance2","sd.instance1","sd.instance2"
"1",2,0.00480109763723251,3.15544362088405e-31,0.00703055022847634,9.97838887024244e-31
"2",6,164.224956364823,1.036111951384e-09,82.24974561107,3.12706010795392e-09
"3",11,31198.8144473641,1.82230727706139,10405.8354583906,1.35810352075886
"4",15,119486.246444429,10.1344055328463,32007.8181363963,0.647155865589708
"5",20,272816.575460466,25.9076252826779,43022.4405374997,2.14753528999666
"6",24,440295.106201042,95.2903713768729,59117.0554507617,20.0377435300985
"7",29,596078.460254679,439.302913204531,46206.8158923507,130.633971907219
"8",33,734243.632526317,1507.54175833894,56568.9256716885,360.676442439875
"9",38,955689.306119776,5266.48283295727,97799.5923871397,1343.67158326516
"10",42,1109150.4587844,13178.6219969615,123444.640400607,3233.78510876568
"11",47,1389970.37593387,31736.3249022145,131042.001305812,8002.61287629896
"12",51,1562630.89050381,51952.2894575588,165789.119662377,10556.8678534036
"13",56,2123117.35215616,86692.9112845983,452720.778744669,20230.112121581
"14",60,2582361.43628474,165583.221213967,594061.579843999,64911.2528481929
"15",65,3671857.6837045,240868.731568996,443585.481598052,76782.4749296997
"16",69,4111904.19707614,293703.964466287,485627.631147025,61731.2731277163
"17",74,4407761.85656398,472012.549885502,661068.920737603,76633.8587661362
"18",78,5034074.45050107,578548.53321698,550975.457283687,147767.07699912
"19",83,5275334.08567792,905118.48604516,287272.660613597,178643.222526686
"20",87,5843809.98413663,1016475.08846335,735009.802753378,226970.626758826
"21",92,6249914.12459417,1278991.99769803,347084.813318671,302278.420632729
"22",96,6894922.0744313,1715159.39769598,657316.060776561,232543.624333912
"23",101,6623042.22800809,2082732.35891166,753079.402258323,436375.490621143
"24",105,7346594.54584777,2235652.33817693,497588.200017543,466806.336307173
"25",110,7501128.44225199,2692107.20679795,740747.645268543,521414.703441459
"26",114,8239816.23863973,2529580.70873575,495935.256214667,500163.694228732
"27",119,8595332.69947759,3560427.98709678,603329.81768771,308306.819132205
"28",123,8399032.1805407,3453739.93869677,782787.541573329,911089.282363822
"29",128,9358031.10485382,4192650.50582119,687478.384172632,697921.090975253
"30",132,9405210.71978533,4353597.59210524,897567.223009483,957454.65816982
"31",137,10161214.1170115,5162451.48889563,538057.873846815,821713.703279104
"32",141,10389318.7871128,5655646.49184113,887605.896863459,847018.489349561
"33",146,11288460.8702191,6059115.87561581,888076.374822483,562890.995766391
"34",150,11731358.0487318,5997389.46811956,1122603.77665204,989844.062910097
